idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
Animal-park or aquarium ticket bundle,1,6,"350,000-650,000 VND"
Aquarium and zoo entry (tickets: commission or markup),1,6,"180,000-500,000 VND"
Attraction city pass with margin or commission,1,7,"500,000-1,500,000 VND"
Attraction city pass with your margin or commission,1,7,"500,000-1,500,000 VND"
Attraction fast-track tickets where available,2,8,"100,000-400,000 VND"
Bike-delivery or walking-delivery merchandise option,1,2,"30,000-120,000 VND"
Cable car and scenic lift access (tickets: commission 5–10%),1,5,"250,000-800,000 VND"
Cinema premium-seat packages,1,4,"120,000-300,000 VND"
Co-hosted events with shared costs and revenue.,1,1,0 VND
Comedy show and stand-up performance tickets (commission: 10–20%),1,5,"200,000-600,000 VND"
Concert and festival ticket packages (commission: 10–20%),1,6,"500,000-2,500,000 VND"
Concert and festival tickets (commission or markup 10–25%),1,7,"500,000-3,000,000 VND"
"Create festival-specific packages (Tet, Lantern Festival, New Year).",1,5,"500,000-2,000,000 VND"
Drive-in movie and vintage cinema experiences (commission: 5–10%),1,2,"150,000-500,000 VND"
Early Check-In Front Desk Queue Bypass,1,7,"100,000-400,000 VND"
Event merchandise pre-order and collection,1,4,"100,000-400,000 VND"
Event ticket procurement and booking (commission: 10–25%),1,7,"120,000-350,000 VND"
Event-night surge-proof transfer pricing,2,3,"200,000-700,000 VND"
Exclusive member-only event invitations,1,2,0 VND
Famous Local Movie Set Cinematic Location Tour,1,3,"400,000-1,200,000 VND"
Ferry and boat transportation (tickets: commission 10–15%),1,6,"80,000-450,000 VND"
Ferry ticket plus dock-transfer bundle,1,6,"150,000-700,000 VND"
Festival-day itinerary bundle,1,4,"300,000-900,000 VND"
Film festival access and screening (commission: 10–20%),1,3,"200,000-800,000 VND"
Fully integrated operations (you run everything).,1,1,0 VND
Future Cruise Cabin Priority Waitlist Reserve,1,1,0 VND
Gondola and canal rides (tickets: commission 10–20%),1,5,"80,000-300,000 VND"
High-end dining waitlist access management,1,4,"100,000-500,000 VND"
Holiday parade/fireworks viewing package,1,5,"300,000-1,500,000 VND"
IMAX and premium cinema experiences (commission: 5–10%),1,4,"120,000-350,000 VND"
Local bus pass and multi-day transportation tickets (markup: 5–10%),1,9,"50,000-200,000 VND"
Local festivals participation.,1,4,"0-300,000 VND"
Low-inventory alerts for tonight's events,1,5,0 VND
Movie theater experience and film access (commission: 5–10%),1,4,"80,000-250,000 VND"
Museum and gallery entry (tickets: commission or markup 5–15%),1,7,"50,000-250,000 VND"
Negotiate attraction affiliate payouts on ticket sales,1,1,0 VND
Negotiate BNPL rev-share on high-ticket services where legal,1,1,0 VND
Niche museum pass for art/history lovers,1,3,"120,000-450,000 VND"
Offer fan meet-up tours or events for viewers who are in the destination.,1,2,"200,000-600,000 VND"
Offer installment payments for high-ticket experiences.,1,3,0 VND
Offer luggage packing/unpacking service in cooperation with hotels where culturally appropriate.,1,4,"100,000-400,000 VND"
"Offer optional ""flexible ticket"" upgrades allowing date changes.",1,6,"50,000-150,000 VND"
Operate commissionable experience desks inside accommodations,1,2,0 VND
"Organize special event viewing (e.g., fireworks, marathon, concerts).",1,5,"300,000-1,200,000 VND"
Package local sports events with tickets and transport.,1,5,"250,000-900,000 VND"
Partner with operators in other Vietnamese cities for cross-sell packages.,1,1,0 VND
Pay-later / split-pay on high-ticket tours,1,3,0 VND
Peak-demand holiday-event bundles,1,5,"500,000-2,000,000 VND"
Performance experience nights,1,3,"300,000-1,200,000 VND"
Personalized Holiday Cinema Documentary Cut,1,1,"500,000-1,500,000 VND"
"Personalized travel merchandise (mugs, t-shirts, etc.): markup 35–50%",1,2,"150,000-500,000 VND"
Pop-up dining and supper club events (\$80–\$250 per person),1,3,"1,900,000-6,000,000 VND"
Private entrance / green-room style event service,1,2,"300,000-1,500,000 VND"
Private party and event hosting coordination (commission: 20–35%),1,3,"1,000,000-5,000,000 VND"
Pub-quiz/comedy/open-mic tickets,1,3,"80,000-250,000 VND"
Puppetry and shadow theater performance (\$15–\$50 per person),1,1,"350,000-1,200,000 VND"
Pure referral model with no operational involvement.,1,1,0 VND
QR-ticket wallet setup for attractions and transit,1,6,"50,000-200,000 VND"
Rain-backup event substitution guarantee,1,4,"100,000-400,000 VND"
Rainy Night In-Villa Cinematic Projection,1,2,"250,000-800,000 VND"
Return-visit future event presale rights,2,2,0 VND
"Run annual themed trips (e.g., Tet, New Year, festivals) for alumni.",1,2,"3,000,000-12,000,000 VND"
Run paid online reunion events.,1,1,"50,000-200,000 VND"
Sell destination merchandise shipped to their home.,1,2,"150,000-500,000 VND"
Special event announcements.,1,2,0 VND
Sponsorship of events in exchange for exposure.,1,1,0 VND
Sports event VIP package access (markup: 20–35%),1,4,"500,000-2,000,000 VND"
Sports-game tickets with hospitality upsell,1,5,"300,000-1,500,000 VND"
Theater and performing arts experiences (tickets: commission or markup),1,5,"150,000-700,000 VND"
Theater and performing arts ticket access (commission: 10–20%),1,5,"150,000-700,000 VND"
Theater/opera tickets with best-seat selection,1,4,"200,000-800,000 VND"
Traffic ticket and violation support (consulting fee: \$100–\$300),1,2,"2,500,000-7,500,000 VND"
"Upsell eco-friendly merchandise like reusable bottles, bags, or bamboo straws with your brand.",1,2,"50,000-200,000 VND"
VIP concert/sport hospitality packages,1,4,"800,000-3,500,000 VND"
VIP queue management at timed-entry venues,1,6,"150,000-600,000 VND"
White-label partner inventory from local operators,1,1,0 VND
Wildlife-ethical operator guarantee package,1,2,"100,000-400,000 VND"
Work with airlines or charter operators to be their preferred DMC in the destination.,1,1,0 VND
