idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Party and nightlife"" specialist.",1,7,"400,000-1,200,000 VND"
Afternoon tea experiences (\$30–\$75 per person),1,5,"150,000-500,000 VND"
Afternoon-tea package at premium venue,1,5,"150,000-500,000 VND"
Aged Dark Rum Premium Tasting Lounge Flight,1,5,"300,000-1,000,000 VND"
Alcohol tasting sampler boxes (markup: 20–30%),1,5,"300,000-1,000,000 VND"
Allergy-safe restaurant planning service,1,9,"100,000-400,000 VND"
Anniversary dinner,1,8,"1,800,000-5,500,000 VND"
"Arrange ""factory tours"" with product purchases (coffee, chocolate, silk, ceramics).",1,6,"300,000-900,000 VND"
Arrange incentive travel for sales teams from various countries.,1,2,"5,000,000-20,000,000 VND"
Artisanal product tasting,1,5,"300,000-1,000,000 VND"
Balcony Personal Wine Dispenser Access Card,1,1,"150,000-500,000 VND"
Beach day lunch and beverage service (markup: 25–35%),1,5,"150,000-500,000 VND"
Beach Sunset Fresh Oyster Shucking Platter,1,5,"150,000-500,000 VND"
Beachside dinner with setup service (coordination fee: \$75–\$250),1,5,"150,000-500,000 VND"
Bed and breakfast exclusive access (commission: 10–20%),1,4,"120,000-350,000 VND"
Bespoke Spirit Barrel Aging Private Selection,1,1,"150,000-500,000 VND"
Blizzard Cabin Mulled Wine Brewing Kit,1,5,"150,000-500,000 VND"
Bluetooth Audio Room Soundbar Lease,1,1,"100,000-250,000 VND/day"
Breakfast comfort package add-on,1,5,"120,000-350,000 VND"
Breakfast crawl for early-arriving travelers,1,5,"300,000-1,000,000 VND"
Breakfast inclusion or upgrade packages (upsell: \$15–\$40 per day),1,9,"120,000-350,000 VND"
Brewery and distillery tours (\$30–\$80 per person),1,6,"400,000-1,200,000 VND"
Celebratory dinner,1,8,"1,200,000-4,500,000 VND"
Champagne breakfast and brunch packages (markup: 15–25%),1,5,"120,000-350,000 VND"
Chauffeur for nightlife return rides,1,7,"600,000-1,500,000 VND"
Chef's table experiences (\$200–\$600 per person),1,6,"1,500,000-4,000,000 VND"
Chef-led market tour plus cooking class,1,8,"500,000-1,500,000 VND"
Cocktail bar discovery and reservation service (commission: 5–10%),1,6,"100,000-250,000 VND"
Coffee plantation and roastery tours (\$40–\$100 per person),1,5,"300,000-1,000,000 VND"
Coffee roastery tours and bean purchases (commission: 10–20%),1,6,"300,000-1,000,000 VND"
Coffee roasting or tea-blending class,1,6,"250,000-700,000 VND"
Coffee tasting and specialty coffee experiences (\$25–\$60 per person),1,6,"250,000-800,000 VND"
Combine food tours with photography coaching or short video creation for social media.,1,8,"300,000-800,000 VND"
Cooking competition dinner experiences (\$50–\$200 per person),1,5,"300,000-1,000,000 VND"
Cooking equipment rental for short-term stays (daily fee: \$15–\$50),1,5,"300,000-1,000,000 VND"
Cooking with market shopping.,1,8,"300,000-1,000,000 VND"
Corporate team-building travel guides (\$29.99–\$99.99),1,2,"300,000-1,000,000 VND"
Couples dinner package,1,7,"1,800,000-6,000,000 VND"
Couples sunset dinner package,1,7,"2,200,000-7,000,000 VND"
Craft beer tasting flights and brewery packages (commission: 10–20%),1,6,"400,000-1,200,000 VND"
Craft-beer or cocktail crawl,1,7,"350,000-900,000 VND"
"Create cross-promotions (book a tour, get a discount at partner restaurant).",1,2,"300,000-1,000,000 VND"
"Create fixed-price ""local tasting menus"" where you control margin and upsell drink packages.",1,6,"300,000-1,000,000 VND"
"Create paid mini-courses (e.g., ""Vietnam Street Food 101"" or ""Basic Vietnamese Phrases for Travelers"").",1,8,"99,000-299,000 VND"
Create picnic basket packages for beach or countryside outings.,1,9,"250,000-900,000 VND"
"Create thematic ""trail"" journeys (war history trail, coffee trail, silk road, etc.).",1,8,"300,000-1,000,000 VND"
"Create themed tours: street food, war history, architecture, coffee culture, nightlife, photography.",1,8,"400,000-1,200,000 VND"
Create vegan or gluten-free food tours.,1,9,"300,000-800,000 VND"
Culinary festival and food event access (commission or markup),1,8,"200,000-900,000 VND"
Culinary language lessons (food vocabulary and restaurant phrases): \$50–\$150,1,8,"300,000-1,000,000 VND"
Curated Gourmet Meadow Picnic Basket Delivery,1,9,"250,000-900,000 VND"
Custom travel book or coffee table book creation (\$300–\$800),1,2,"100,000-400,000 VND"
