idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
Bundle meeting-room rentals with experiences.,1,5,"1,000,000-2,500,000 VND"
Corporate group travel logistics,1,4,"3,000,000-10,000,000 VND"
Corporate invoicing.,1,2,0 VND
Corporate receipt reconciliation service,1,2,0 VND
"Corporate travel management (contract: \$1,000–\$5,000/month)",1,3,"25,000,000-125,000,000 VND/month"
Corporate traveler membership with invoicing perks,1,3,"500,000-2,000,000 VND/month"
Coworking access pass,1,7,"300,000-900,000 VND"
Coworking day passes,1,8,"100,000-250,000 VND"
Coworking weekly passes for mid-stay users,1,7,"500,000-1,500,000 VND"
Develop group packages for corporate retreats with higher per-head margins.,1,5,"5,000,000-20,000,000 VND"
Ergonomic chair/monitor rental to accommodation,1,7,"150,000-500,000 VND/day"
Executive coworking bundle,1,5,"700,000-1,500,000 VND"
Expense-receipt consolidation for business travelers,1,2,"150,000-400,000 VND"
HD 1080p Outdoor Screen Projector Set,1,1,"250,000-700,000 VND/day"
High-Speed Corporate Dedicated Wi-Fi Upgrade,1,9,"300,000-1,000,000 VND/day"
Mobile office kit delivered to room,1,7,"150,000-400,000 VND"
Multi-Vehicle Corporate Convoy Escort,1,1,"5,000,000-20,000,000 VND"
Multilingual executive assistant-on-call,1,4,"500,000-2,000,000 VND/day"
Negotiate coworking partner payouts,1,1,0 VND
Ocean Dolphin Acoustic Bio-Monitoring Trip,1,1,"2,500,000-8,000,000 VND"
"Offer ""work and travel"" itineraries for remote workers.",1,8,"300,000-1,000,000 VND"
Offer corporate mid-week deals to use idle capacity.,1,1,0 VND
"Offer MICE (meetings, incentives, conferences, exhibitions) services in partnership with hotels.",1,3,"10,000,000-50,000,000 VND"
Office-gift procurement for business travelers,1,2,"200,000-800,000 VND"
Podcast recording and production studio rental (\$100–\$300 per session),1,2,"2,500,000-7,500,000 VND/session"
"Podcast sponsorships and branded content (\$500–\$5,000 per episode)",1,1,0 VND
Podcast/video-studio booking service,1,2,"1,000,000-3,000,000 VND/session"
Printer/scanner/package-handling service,1,7,"50,000-200,000 VND"
Private meeting room by the hour,1,8,"150,000-500,000 VND/hour"
Reliable backup-internet package,1,9,"150,000-500,000 VND/day"
Remote-work paperwork referral where relevant,1,3,0 VND
Remote-worker social meetup or mastermind ticket,1,4,"100,000-500,000 VND"
Tax documentation for business travel (\$150–\$400 per tax return),1,3,"3,500,000-10,000,000 VND"
Travel podcast episode production and distribution (\$300–\$800 per episode),1,1,"7,500,000-20,000,000 VND/episode"
University/coworking guest-lecture access,1,1,0 VND
"Use data dashboards to monitor revenue per guest, per channel, and per product.",1,1,0 VND
Whiteboard/projector rental,1,6,"100,000-400,000 VND"
Workation extension package beyond 10 days,1,7,"1,500,000-5,000,000 VND"
