idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Freshen up room"" near airport/port",1,4,"150,000-350,000 VND"
Accommodation review and selection consultation (fees: \$50–\$200),1,3,"200,000-600,000 VND"
Accommodation-to-accommodation luggage transfer (\$50–\$150 per transfer),1,5,"200,000-500,000 VND"
Airbnb and alternative accommodation listings (affiliate: 5–15%),1,6,0 VND
Apartment rental for monthly stays (15–25% commission),1,5,0 VND
Baggage Courier Direct to Hotel Room,1,3,"200,000-450,000 VND"
Bike/sports-gear transfer from airport to hotel,1,2,"120,000-300,000 VND"
Board games/books delivered to accommodation,1,2,"20,000-100,000 VND"
Boutique hotel network partnerships (commission: 10–20%),1,2,0 VND
Boutique hotel partnerships (commission: 15–25%),1,2,0 VND
Business-dress pressing,1,6,"50,000-150,000 VND"
Coliving and community accommodation (commission: 10–20%),1,4,0 VND
Commissionable experience desk inside accommodations,1,4,0 VND
Curated souvenir boxes delivered to accommodation,1,3,"250,000-800,000 VND"
Custom Bedroom Star Projection Night Lamp,1,1,"150,000-500,000 VND"
Custom Commemorative Hotel Robes Purchase,1,1,"200,000-600,000 VND"
Day-use room for late departures,2,7,"300,000-1,200,000 VND"
Dry cleaning and garment care (\$5–\$25 per item handling),1,8,"50,000-200,000 VND"
Early check-in room readiness package,1,8,"100,000-350,000 VND"
Eco-Certified Room Allergen Deep-Cleaning,1,3,"400,000-1,500,000 VND"
Eco-lodge and sustainable accommodation (commission: 15–25%),1,4,0 VND
Egyptian Cotton Premium Bed Linen Upgrade,1,4,"150,000-450,000 VND"
Electric Bathroom Wall Towel Rail Warmer,1,2,0 VND
Extra linen/towel replenishment for rentals,1,7,"20,000-80,000 VND"
Farm stay and agritourism accommodation (commission: 10–20%),1,4,0 VND
Foreign-exchange delivery to accommodation,1,3,"80,000-200,000 VND"
Fridge stocking with dietary preferences,1,7,"150,000-500,000 VND"
Fuel and gas delivery to accommodation (markup: 15–25%),1,2,"50,000-150,000 VND"
Grocery restock service mid-stay,1,7,"100,000-300,000 VND"
Heat Wave High-Velocity Bedroom Air Fan,1,5,"50,000-150,000 VND"
High Humidity Cotton Linen Fresh Change,1,4,"50,000-150,000 VND"
Hotel booking package,1,5,0 VND
Hotel concierge premium services (additional fee: \$50–\$200),1,5,"300,000-1,000,000 VND"
Hotel credit and amenity packages (resell at 8–12% markup),1,6,"300,000-1,000,000 VND"
Hotel loyalty points purchase or transfer (commission: 5–10%),1,3,0 VND
Hotel partner package,1,1,0 VND
Hotel pre-booking with room upgrade guarantees,1,6,"300,000-900,000 VND"
"Hotel room inventory pre-purchase (negotiate group rates, mark up 8–12%)",1,3,0 VND
Hotel-lobby exclusive packages.,1,2,"100,000-400,000 VND"
Housekeeping subscription every third day,1,7,"400,000-1,200,000 VND/month"
In-stay handyman-fix coordination for rentals,1,5,"100,000-300,000 VND"
Late Checkout Afternoon Extension Fee,1,8,"100,000-300,000 VND"
Late checkout buyout with partner hotels,2,7,"150,000-500,000 VND"
Late checkout comfort package add-on,1,5,"120,000-350,000 VND"
Late checkout extensions (flat fee: \$30–\$100),1,8,"150,000-500,000 VND"
Laundry and pressing service (commission: 10–20%),1,8,"50,000-200,000 VND"
Laundry pickup and return within 24 hours,2,8,"70,000-200,000 VND"
Laundry-service commission or fixed-fee share,1,2,0 VND
Luggage delivery from airport to accommodation,1,7,"150,000-400,000 VND"
Luggage storage after checkout,1,8,"30,000-80,000 VND/day"
Luggage storage and concierge service (daily: \$10–\$30),1,7,"100,000-300,000 VND/day"
Luggage-forwarding between accommodations,1,5,"150,000-400,000 VND"
Luxury apartment rentals (commission: 15–25%),1,4,0 VND
