idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
24-hour hop-on city transfer service with fixed routes,1,8,"350,000–650,000 VND"
Airport pickup codes for add-ons.,1,8,0 VND
Airport pickup of pre-ordered souvenirs on departure,1,8,"120,000–300,000 VND"
Airport transfer,2,9,"450,000–1,000,000 VND"
Airport transfer and shuttle service (flat rate: \$30–\$100),1,9,"350,000–900,000 VND"
Airport transfer packages (private car: \$50–\$150),1,9,"500,000–1,200,000 VND"
Amusement-park fast-entry plus transfer,1,4,"700,000–1,500,000 VND"
Anniversary transfer,1,8,"1,800,000-5,500,000 VND"
Bicycle or scooter add-ons for free time.,1,6,"100,000–250,000 VND"
Bicycle rental and cycling packages (commission: 10–20%),1,6,"120,000–300,000 VND"
Bicycle rental with curated route maps,1,6,"120,000–300,000 VND"
Bicycle-first mobility pass,1,6,"250,000–500,000 VND"
Bilingual Driver Translator Chauffeur,1,6,"900,000–1,800,000 VND"
Boat taxi or water-shuttle add-on,1,2,"200,000–500,000 VND"
Chauffeur standby for premium travelers,1,5,"1,500,000–3,500,000 VND"
Chauffeur-driven day tours.,1,6,"1,000,000–2,500,000 VND"
City-Cruiser High-Speed Electric Kick Scooter,1,1,"150,000–350,000 VND"
Dedicated Standby Private Chauffeur,1,6,"1,500,000–3,500,000 VND"
Departure lounge access bundled with transfer,1,4,"600,000–1,400,000 VND"
Departure transfer,1,4,"700,000–1,500,000 VND"
Desert Dunes Evening Sunset Camel Caravan,1,2,"1,500,000–3,000,000 VND"
Digital tipping wallet for guides and drivers,1,4,0 VND
Downtown Priority Private Parking Reserve,1,4,"50,000–150,000 VND"
Driver Overnight EV Charging Valet,1,4,"100,000–250,000 VND"
E-bike rental with delivery and collection,1,6,"120,000–300,000 VND"
Electric bike and e-scooter rental (commission: 10–20%),1,6,"100,000–250,000 VND"
Electric Luxury Vehicle Fleet Swap,1,2,"2,000,000–5,000,000 VND"
Executive airport transfer,1,5,"700,000-1,500,000 VND"
Far-in-advance early-bird offers.,1,4,0 VND
Ferry Premium Deck Priority Lane Pass,1,4,"200,000–500,000 VND"
Greener airport transfer in EV where available,1,4,"450,000–900,000 VND"
Helicopter / scenic-flight premium add-on,1,4,"6,000,000–18,000,000 VND"
Helicopter Airport Bypass Shuttle,1,2,"8,000,000–20,000,000 VND"
Helicopter transfer service (premium pricing: commission 20–30%),1,2,"8,000,000–20,000,000 VND"
High-Performance Convertible Car Swap,1,2,"2,500,000–7,000,000 VND"
Hop-on guided bus/van tour with commentary,1,8,"350,000–700,000 VND"
Houseboat rentals (commission: 15–25%),1,2,"2,500,000–6,500,000 VND"
In-Car Premium Beverage Cabinet Stocking,1,1,"150,000–400,000 VND"
Intercity transfer to nearby towns/attractions,1,8,"500,000–1,200,000 VND"
"Introduce ""guaranteed driver"" for the stay: a fixed daily rate for a reliable driver on call for 8–10 hours.",1,6,"1,800,000–4,500,000 VND"
Late-night eats map plus ride-credit pack,1,4,"100,000–300,000 VND"
Limousine and luxury vehicle service (hourly: \$100–\$300+),1,2,"1,500,000–3,500,000 VND"
Local transport loyalty bundle,1,5,"500,000-2,000,000 VND"
Luggage-only transfers while guests travel lighter.,1,8,"200,000–450,000 VND"
Lunar Eclipse Telescope Mountain Shuttle,1,2,"800,000–1,800,000 VND"
Luxury-shopping transfer and reservation service,1,4,"600,000–1,500,000 VND"
"Market ""slow travel"" packages with fewer transfers and deeper stays.",1,4,0 VND
Moonlight transfer to scenic viewpoints,1,8,"300,000–700,000 VND"
Motorcycle rental coordination (commission: 10–20%),1,2,"100,000–300,000 VND"
Motorcycle Security Chauffeur Escort,1,2,"1,200,000–2,800,000 VND"
Motorized Underwater Propulsion Sea-Scooter,1,6,"300,000–800,000 VND"
Multi-day car rental packages (commission: 10–15%),1,6,"800,000–2,000,000 VND"
Multi-day driver-guide hire.,1,6,"1,500,000–3,500,000 VND"
Multi-stop shopping transfer package,1,8,"250,000–600,000 VND"
Multilingual arrival hotline for lost-driver issues,1,5,0 VND
Negotiate transport reseller margin with drivers,1,5,0 VND
Offer helicopter or small-plane scenic flights.,1,4,"5,000,000–15,000,000 VND"
"Offer intercity transfer packages (e.g., Da Nang–Hue–Hoi An) with sightseeing stops, combining transport and mini-tours.",1,8,"1,200,000–2,800,000 VND"
Offer motorcycle road-trip experiences.,1,4,"2,000,000–5,000,000 VND"
Offer NFT-style digital souvenirs if relevant.,1,1,0 VND
Parking citation assistance and resolution (commission: 15–25%),1,4,"150,000–500,000 VND"
Parking reservation and valet service (commission: 10–20%),1,4,"100,000–300,000 VND"
"Partner with car-rental agencies to earn commission on self-drive rentals, especially for day trips.",1,6,0 VND
Pet-friendly airport transfer,1,4,"450,000–900,000 VND"
Photo-route transfer with stops at viewpoints,1,8,"500,000–1,200,000 VND"
Premium City Electric-Bike Daily Rental,1,6,"150,000–350,000 VND"
Premium departure transfer with luggage assistance,1,8,"400,000–900,000 VND"
Premium minivan for groups with luggage,1,8,"700,000–1,500,000 VND"
Prepaid airport transfer with 60-minute wait time,1,9,"450,000–900,000 VND"
Prepaid airport transfer with guaranteed wait time,1,9,"500,000–1,000,000 VND"
Priority Car Rental Desk Bypass Card,1,4,"100,000–200,000 VND"
