idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Learn something new"" educational appeal.",1,3,"149,000–299,000 VND"
"""Social media content"" appeal.",1,2,"99,000–199,000 VND"
Ad placements in your guest chat/app to local venues,1,1,0 VND
AI trip chat assistant in standard tier,1,5,"149,000–299,000 VND"
AI trip chat assistant premium tier,2,4,"399,000–899,000 VND"
Apple/Google Pay for fast checkout.,1,9,0 VND
Appliance or kitchen-kit rental,1,3,"150,000–400,000 VND"
Apply NPS and reviews to refine product-market fit.,1,1,0 VND
Apply surcharges for last-minute bookings or custom itineraries.,1,2,"100,000–300,000 VND"
Build long-term relationships via newsletters and communities.,1,2,"79,000–199,000 VND/month"
Charging kits and universal-adapter rental,1,8,"50,000–120,000 VND/day"
City public transportation tutorials (downloadable: \$1.99–\$4.99),1,7,"29,000–79,000 VND"
Create destination newsletters that carry paid ads.,1,3,0 VND
Custom Hand-Drawn Itinerary Map Design,1,2,"300,000–800,000 VND"
Custom map print or location-based art piece,1,2,"250,000–700,000 VND"
Custom maps per guest segment.,1,4,"149,000–349,000 VND"
Custom travel map and location visualization (\$50–\$150),1,2,"500,000–1,500,000 VND"
"Daily ""best of tonight"" newsletter monetized by sponsors",1,3,0 VND
Destination-specific eSIM with instant QR activation,2,8,"79,000–299,000 VND"
Digital photo backup and cloud storage service (commission or fee),1,3,"49,000–149,000 VND"
Digital Travel Audio Diaries Cloud Access,1,2,"49,000–129,000 VND"
Downloadable travel checklists and templates (\$2.99–\$14.99),1,7,"19,000–79,000 VND"
eSIM bundled with WhatsApp concierge access,1,8,"199,000–499,000 VND"
Eyelash extension application (commission: 15–25%),1,1,"300,000–900,000 VND"
Gel nail application and extensions (\$40–\$100 per session),1,1,"250,000–700,000 VND"
"Guest co-created content (guides, maps).",1,2,0 VND
Help for apps that require domestic cards,1,7,"50,000–200,000 VND"
Holiday Travel Diary Private Cloud Server,1,1,"99,000–299,000 VND"
Hyper-Local Microclimate Forecast Alert App,1,3,"49,000–149,000 VND"
Implement an app or PWA with push notifications for last-minute deals.,1,6,"99,000–249,000 VND"
Implement chatbot-based upsell flows in messaging apps.,1,4,"99,000–299,000 VND"
Insider calendar newsletter during the stay,1,2,"39,000–99,000 VND"
Interpreter for business meetings,1,4,"600,000–1,500,000 VND"
Local bank/SIM/utility admin helper appointment,1,4,"150,000–400,000 VND"
Local SIM/powerbank/accessory retail kiosk,1,7,"50,000–250,000 VND"
Local streaming/sports-access helper package,1,5,"50,000–150,000 VND"
Local transportation maps and navigation guides,1,8,"29,000–99,000 VND"
Mobile-number activation help for OTP-dependent apps,1,7,"80,000–250,000 VND"
"Multi-year travel roadmap and life planning (\$500–\$2,000 service)",1,1,"5,000,000–20,000,000 VND"
Negotiate eSIM affiliate payouts,1,1,0 VND
"Offer ""content pack"" for influencers including shot locations, timing, and contacts.",1,1,"500,000–2,000,000 VND"
Offer offline maps and POIs in a downloadable format.,1,7,"49,000–149,000 VND"
On-arrival eSIM activation,2,9,"450,000–1,000,000 VND"
"Package past itineraries and feedback into niche digital products (e.g., ""10 days in Central Vietnam for families"").",1,3,"99,000–299,000 VND"
Partner with bookshops for local literature and maps.,1,1,"80,000–250,000 VND"
Personalized Travel Blog Web Page Setup,1,1,"500,000–1,500,000 VND"
Photo-storage cloud voucher for heavy-content travelers,1,3,"49,000–129,000 VND"
Power-bank rental with pickup/drop-off points,1,8,"50,000–120,000 VND/day"
Private shopping appointments before public hours,1,2,"300,000–1,000,000 VND"
Refillable water bottle plus refill map,1,6,"80,000–200,000 VND"
Rent power banks for long days.,1,8,"40,000–100,000 VND/day"
Roaming troubleshooting or phone-setup service,1,7,"100,000–300,000 VND"
Secure eSIM setup pack,1,8,"150,000-500,000 VND"
"Sell a fixed-price 10‐day concierge package via WhatsApp/Telegram, providing 24/7 support, reservations, and problem-solving.",1,6,"3,000,000–8,000,000 VND"
Sell access to a members-only Telegram/WhatsApp group with local updates and deals.,1,2,"49,000–199,000 VND/month"
Sell ad placements in guest chat/app to local venues,1,1,0 VND
Sell AR or audio tours for specific neighborhoods or attractions.,1,3,"49,000–149,000 VND"
Sell branded Notion/Google Docs planning templates.,1,5,"49,000–149,000 VND"
"Sell limited slots on ""filming days"" where guests appear in content.",1,1,0 VND
Smart itinerary app with live schedule sync,1,5,"99,000–249,000 VND"
Social media content creation from trip (weekly: \$200–\$500),1,1,"1,000,000–3,000,000 VND"
Social media story-only discounts.,1,2,0 VND
Solar-Charging Portable Powerbank Battery,1,7,"180,000–450,000 VND"
