idea,occurrences,guest_need_frequency
"""Eco-conscious"" brand.",1,2
"""Support local"" impact framing.",1,2
Carbon-aware local-transport upgrades,1,4
Carbon-neutral travel planning consultation (\$150–\$400),1,2
Clothing donation and textile recycling (\$50–\$200 coordination fee),1,3
Crowdsourced reviews feeding dynamic recommendations.,1,1
Dash cam and vehicle recording equipment rental (\$15–\$40/day),1,1
Hand-Stitched Leather Travel Pouch Decorating,1,1
Heritage-preservation donation,1,2
Hydroponic Eco Vertical-Farm Tour & Salad,1,2
Offer carbon-offset options for tours.,1,3
"Provide ""impact reports"" for guests showing where their money went.",1,2
Reef/forest conservation donation add-on at checkout,1,3
"Sell ""eco-upgrade"" versions using greener transport.",1,4
Sell eco-friendly products like reusable items.,1,4
