idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
After-booking confirmation email add-ons.,1,4,0 VND
AI-generated budget-vs-premium options by day,1,5,"150,000-300,000 VND"
Air-Conditioned Pet Kennel Resort Booking,1,1,"500,000-1,500,000 VND"
All-inclusive daily rates.,1,5,0 VND
"Annual travel planning and strategy session (annual fee: \$300–\$1,000)",1,2,"7,000,000-25,000,000 VND"
Arrange personal training or coaching sessions during the stay.,1,4,"500,000-2,000,000 VND"
Audio-guided city trail with paid unlocks,1,5,"49,000-199,000 VND"
"Budget ""hostel trails"" tours.",1,3,"150,000-400,000 VND"
Cheese and dairy farm tours (\$40–\$100 per person),1,3,"1,000,000-2,500,000 VND"
Co-branded campaigns with influencers.,1,1,0 VND
Create content warning about unsafe practices and offer safe paid options.,1,4,"100,000-300,000 VND"
Create YouTube or social content that drives inbound tour and concierge sales.,1,1,0 VND
Cross-promote other destinations via email or content.,1,1,0 VND
Custom In-Room Botanical Cocktail Chemistry Kit,1,1,"250,000-600,000 VND"
Custom Oil Portrait of Pet Hand Commission,1,1,"800,000-2,500,000 VND"
Daily Exotic Local Florist Room Designs,1,1,"300,000-1,500,000 VND"
Destination guidebooks (printed or digital: \$9.99–\$29.99 each),1,6,"199,000-699,000 VND"
Eco-tourism and sustainable travel guides (\$4.99–\$14.99),1,5,"99,000-349,000 VND"
"Email-only ""secret"" offers.",1,4,0 VND
"Encourage user-generated content and reviews, then use this to drive future bookings.",1,3,0 VND
Future-trip planning retained on customer profile,1,5,0 VND
GPS and navigation device rental (daily fee: \$10–\$25),1,4,"250,000-650,000 VND"
Guided Off-Road ATV Forest Trail Expedition,1,3,"1,200,000-3,500,000 VND"
Hair coloring and dyeing services (commission: 15–25%),1,4,"400,000-1,500,000 VND"
Hair extension and installation services (\$200–\$600 per installation),1,2,"4,500,000-15,000,000 VND"
Hair styling and professional blowout (\$50–\$150 per session),1,5,"500,000-1,800,000 VND"
Haircut and trim services (commission: 10–20%),1,6,"150,000-600,000 VND"
Halal/kosher-friendly dining concierge pack,1,6,"300,000-900,000 VND"
Hard-to-book museum/reservation concierge,2,6,"150,000-500,000 VND"
Hardtail Dual-Suspension Mountain Trail Bike,1,2,"300,000-900,000 VND"
Heavy-Duty Double-Coated Rainy Day Poncho,1,5,"80,000-180,000 VND"
High Gale Force Professional Sailing Runs,1,1,"2,000,000-6,000,000 VND"
High-Performance HEPA Air Purifier Rental,1,3,"250,000-900,000 VND"
High-stress Eyestrain Cooling Herbal Therapy,1,2,"150,000-450,000 VND"
Highlight reviews specifically praising upgrades.,1,2,0 VND
Human-curated plus AI suggestions combos.,1,5,0 VND
In-chat only flash deals.,1,4,0 VND
Interactive GPS Audio Guidebook Access,1,5,"99,000-299,000 VND"
"Introduce ""consult and book"" packages where planning is a paid service.",1,4,"300,000-1,000,000 VND"
Itineraries personalized by AI questionnaire.,1,7,"199,000-499,000 VND"
Itinerary customization service (flat \$100–\$300 fee),1,6,"2,500,000-7,500,000 VND"
Laminated Local Marine Life Species Guidebook,1,2,"100,000-250,000 VND"
License your itineraries or content to other agencies as white-label products.,1,1,0 VND
Live-Agent Flight Alert SMS Concierge,1,6,"100,000-350,000 VND"
Local Fine-Art Landscape Painter Print,1,1,"500,000-3,000,000 VND"
Local love-story walking tour,1,2,"400,000-1,200,000 VND"
Luxury concierge pre-arrangement (\$200–\$500 retainer),1,4,"5,000,000-12,000,000 VND"
Luxury train travel (orient express style): commission 15–25%,1,2,"8,000,000-30,000,000 VND"
"Luxury travel concierge service (monthly retainer: \$200–\$1,000)",1,4,"5,000,000-25,000,000 VND"
Maintain GDPR- or equivalent-compliant data handling for guest info.,1,2,0 VND
Maintain proper licenses for transport and guiding.,1,1,0 VND
Makeup/hair prep for shoots,1,3,"250,000-900,000 VND"
"Mobility aid rental (wheelchairs, walkers): daily fee \$25–\$75",1,5,"600,000-1,800,000 VND"
Monsoon Rain Backpack Waterproof Cover Hood,1,4,"50,000-120,000 VND"
Motorized Off-Road All-Terrain ATV Rental,1,2,"800,000-2,000,000 VND/day"
Mountain biking tours (\$50–\$120 per person),1,4,"1,200,000-3,000,000 VND"
Mountain lodge and cabin rentals (commission: 15–25%),1,5,"1,500,000-6,000,000 VND/night"
Mountain Ridge High-Power Night Stargazing,1,2,"300,000-1,000,000 VND"
Mountain Snow Cabin Infrared Heater Rental,1,2,"200,000-500,000 VND"
"Multi-destination itinerary design (\$300–\$1,000 per trip)",1,6,"7,000,000-25,000,000 VND"
