category,idea,source_files,occurrences
Mixed / other travel monetization,"""Adrenaline"" focus.",Revenue Sources by Perplexity.md,1
"Romance, celebration and photography","""Best seat"" performance booking for couples",Revenue Sources by OpenAi.md,1
"Safety, health and problem-solving","""Comfort and safety"" reassurance.",Revenue Sources by Perplexity.md,1
"Sustainability, impact and place-based giving","""Eco-conscious"" brand.",Revenue Sources by Perplexity.md,1
Core tours and sightseeing,"""Express"" 2‐hour versions of longer tours.",Revenue Sources by Perplexity.md,1
"Family, kids and multigenerational support","""Family bonding"" emotional appeal.",Revenue Sources by Perplexity.md,1
"Family, kids and multigenerational support","""Family-friendly"" brand.",Revenue Sources by Perplexity.md,1
Core tours and sightseeing,"""Free time"" plus light-guided variants.",Revenue Sources by Perplexity.md,1
Accommodation-adjacent convenience services,"""Freshen up room"" near airport/port",Revenue Sources by OpenAi.md,1
"Arrival, departure and travel admin","""Give back on departure"" community contribution pass",Revenue Sources by OpenAi.md,1
Core tours and sightseeing,"""Hidden gems"" local insider guides (\$5.99–\$19.99)",Revenue Sources.md,1
"Culture, classes and maker experiences","""History and culture"" focus.",Revenue Sources by Perplexity.md,1
"Connectivity, payments and digital convenience","""Learn something new"" educational appeal.",Revenue Sources by Perplexity.md,1
Mixed / other travel monetization,"""Limited time"" scarcity messaging.",Revenue Sources by Perplexity.md,1
Mixed / other travel monetization,"""Local insider"" branding with exclusive spots.",Revenue Sources by Perplexity.md,1
"Premium access, queue-jumps and VIP support","""Luxury curated"" brand.",Revenue Sources by Perplexity.md,1
Core tours and sightseeing,"""Money-back satisfaction"" tours.",Revenue Sources by Perplexity.md,1
Mixed / other travel monetization,"""Only X spots left"" counters.",Revenue Sources by Perplexity.md,1
"Food, drink and nightlife","""Party and nightlife"" specialist.",Revenue Sources by Perplexity.md,1
"Romance, celebration and photography","""Photographer's choice"" brand.",Revenue Sources by Perplexity.md,1
"Safety, health and problem-solving","""Problem-solving"" offers (e.g., avoid lines, avoid scams).",Revenue Sources by Perplexity.md,1
"Safety, health and problem-solving","""Safety-first"" brand focusing on reliability.",Revenue Sources by Perplexity.md,1
Mixed / other travel monetization,"""Secret spots"" exclusivity.",Revenue Sources by Perplexity.md,1
"Shopping, souvenirs and local commerce","""Shop hands-free"" courier service",Revenue Sources by OpenAi.md,1
"Connectivity, payments and digital convenience","""Social media content"" appeal.",Revenue Sources by Perplexity.md,1
"Sustainability, impact and place-based giving","""Support local"" impact framing.",Revenue Sources by Perplexity.md,1
Mixed / other travel monetization,"""Tomorrow's plan"" messages each evening.",Revenue Sources by Perplexity.md,1
Mixed / other travel monetization,"""Treat yourself"" self-care framing.",Revenue Sources by Perplexity.md,1
