idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Best seat"" performance booking for couples",1,5,"300,000-1,500,000 VND"
"""Photographer's choice"" brand.",1,1,0 VND
4K Aerial Videography Quadcopter Drone Rental,1,3,"1,200,000-3,500,000 VND"
Anniversary flowers delivery,1,8,"1,800,000-5,500,000 VND"
Arrange surprise proposals with photography and venue rental.,1,3,"3,000,000-10,000,000 VND"
Birthday and anniversary celebration meals (coordination fee: \$75–\$250),1,7,"1,800,000-6,000,000 VND"
Birthday mini-package during the trip,1,7,"800,000-2,500,000 VND"
Birthday or anniversary cake planning,1,7,"2,000,000-8,000,000 VND"
Birthday or anniversary date recognition.,1,8,"100,000-600,000 VND"
Birthday or anniversary decorations planning,1,7,"2,000,000-8,000,000 VND"
Birthday or anniversary surprise experiences planning,1,7,"2,000,000-8,000,000 VND"
Birthday Party In-Villa Custom Package,1,5,"3,000,000-12,000,000 VND"
Birthday-month destination perks subscription,1,3,"200,000-800,000 VND"
Bouquet delivery and setup service,1,6,"300,000-1,500,000 VND"
Camera rental pre-booking,1,9,
Celebratory cake,1,8,"1,200,000-4,500,000 VND"
Celebratory flowers,1,8,"1,200,000-4,500,000 VND"
Couples Deep Tissue In-Villa Massage,1,6,"800,000-2,200,000 VND"
Couples Massage Professional Massage Workshop,1,2,"500,000-1,500,000 VND"
Couples membership with anniversary perks,1,3,"300,000-1,200,000 VND"
Couples-only experiences.,1,5,"500,000-2,000,000 VND"
Create commission-based referral agreements with wedding planners and event companies.,1,1,0 VND
Destination wedding planning guides (\$19.99–\$49.99),1,4,"200,000-600,000 VND"
"Destination wedding planning services (retainer: \$2,000–\$10,000)",1,2,"25,000,000-120,000,000 VND"
"Drone filming and aerial videography (daily rate: \$300–\$1,000)",1,4,"4,000,000-25,000,000 VND"
Drone photography and aerial perspective service (\$150–\$500 per session),1,4,"2,000,000-12,000,000 VND"
Drone video shoot where permitted,1,3,"1,000,000-5,000,000 VND"
Elopement support coordination where legal,1,3,"2,000,000-8,000,000 VND"
Flower/romance room decoration,1,7,"500,000-3,000,000 VND"
Hidden Camera Marriage Proposal Photography,1,2,"1,500,000-6,000,000 VND"
High-Res Aerial Drone Canvas Prints,1,1,"300,000-1,500,000 VND"
Honeymoon arrival room setup,1,8,"400,000-2,000,000 VND"
"Honeymoon consultation and customization (\$300–\$1,000)",1,4,"4,000,000-25,000,000 VND"
Horse-drawn carriage and romantic rides (\$50–\$150 per ride),1,2,"1,000,000-3,500,000 VND"
"Milestone birthday/anniversary travel design (\$300–\$1,000)",1,4,"4,000,000-25,000,000 VND"
Mini wedding cake package,1,6,"500,000-2,500,000 VND"
Negotiate photo-shoot referral commissions,1,1,0 VND
"Offer ""trip photographer"" or videographer accompanying guests for half or full days.",1,4,"2,000,000-10,000,000 VND"
Offer destination wedding packages with layered markups.,1,2,"20,000,000-120,000,000 VND"
Panoramic Mountain Peak Horizon Drone File,1,1,"200,000-800,000 VND"
Photo editing pre-booking,1,9,
Photography drone course and certification (\$300–\$800 per course),1,1,"4,000,000-20,000,000 VND"
Private boat sunset charter for couples,1,4,"2,500,000-12,000,000 VND"
Professional Drone Panoramic Video Montage,1,1,"500,000-2,500,000 VND"
Proposal and engagement dinner planning (\$200–\$500 service fee),1,5,"2,000,000-8,000,000 VND"
Proposal photographer hiding-in-plain-sight add-on,1,2,"1,500,000-4,500,000 VND"
Rent tripods for photographers.,1,2,"100,000-300,000 VND"
Romantic dinner setup and arrangement service (\$50–\$200 coordination fee),1,7,"500,000-2,500,000 VND"
Romantic scavenger hunt through the city,1,4,"600,000-2,500,000 VND"
Rooftop sunset picnic for couples,1,6,"1,200,000-4,000,000 VND"
"Sell themed decorations for hotel rooms (Christmas, birthdays, proposals).",1,5,"300,000-1,500,000 VND"
"Showcase case studies (e.g., ""10-day perfect honeymoon"").",1,1,0 VND
Surprise proposal planning service,2,3,"2,000,000-8,000,000 VND"
Traditional Indigenous Wedding Food Banquet,1,2,"10,000,000-40,000,000 VND"
Vacation photo shoot with local photographer,2,4,"1,000,000-4,000,000 VND"
Vow-renewal micro-ceremony package,1,3,"2,000,000-8,000,000 VND"
Wedding photography referral and coordination (commission: 10–20%),1,2,0 VND
"Wedding rehearsal dinner coordination (commission or flat fee: \$300–\$1,000)",1,4,"4,000,000-20,000,000 VND"
Wedding/honeymoon specialized packages (10–20% premium markup),1,4,"5,000,000-30,000,000 VND"
Youth Aerial Drone Videography Workshop,1,1,"1,000,000-4,000,000 VND"
