idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Shop hands-free"" courier service",1,7,"150,000-400,000 VND"
Artisanal product shipping service,1,5,"300,000-1,000,000 VND"
Botanical Therapeutic Oil Discovery Gift Box,1,3,"250,000-700,000 VND"
Capture emails and social contacts from all guests for future marketing.,1,2,0 VND
Certified local-product marketplace online,1,6,0 VND
Co-branded merchandising.,1,3,0 VND
"Create ""gift curation"" services: selecting and shipping gifts home for the guest.",1,8,"200,000-600,000 VND"
Custom Photo Collage Vintage Postcard Kit,1,2,"120,000-350,000 VND"
Engagement-ring shopping translator/concierge,1,3,"500,000-1,500,000 VND"
Farmer market and produce tours (\$25–\$60 per person),1,7,"600,000-1,500,000 VND"
Fashion photography and modeling experiences (\$150–\$500 per session),1,2,"2,500,000-8,000,000 VND"
Fashion shopping guide and personal shopper (\$75–\$250 per hour),1,7,"700,000-1,800,000 VND"
Fine Silver Jewelry Hand-Forging Session,1,2,"1,500,000-4,500,000 VND"
Fragile-item packing and shipping service,1,7,"150,000-500,000 VND"
Gift procurement service for forgotten occasions,1,5,"150,000-500,000 VND"
Guests as models in marketing materials.,1,1,0 VND
Hand-Signed Art Print Local Gallery Purchase,1,3,"500,000-4,000,000 VND"
Hand-Written Old Town Vintage Postcard Mail,1,2,"50,000-120,000 VND"
Ingredient kit add-on for cooking classes,1,8,"500,000-1,500,000 VND"
Jewelry rental and special occasion access (commission: 20–30%),1,2,"500,000-2,000,000 VND"
Liquor store partnerships for premium spirit sales (commission: 5–15%),1,4,"300,000-3,000,000 VND"
Local convenience store partnerships and discounts (affiliate commission),1,4,0 VND
Local social-enterprise gift boxes,1,4,"300,000-900,000 VND"
Local-fashion stylist shopping package,1,6,"800,000-3,000,000 VND"
Luxury shopping guides by destination (\$9.99–\$19.99),1,5,"150,000-500,000 VND"
Made-to-measure tailoring referral and coordination,1,6,0 VND
Market and bazaar tours (\$20–\$50 per person),1,8,"400,000-1,200,000 VND"
Negotiate retail cashback or rev-share from shops,1,2,0 VND
Night-market orientation tour,1,7,"300,000-900,000 VND"
"Offer ""bespoke tailoring"" experiences with local tailors, taking a commission.",1,6,"1,000,000-5,000,000 VND"
"Offer ""shopping assistance"" tours where guide curates quality shops and negotiates for guests, taking a commission from vendors.",1,8,"500,000-1,500,000 VND"
"Offer ""trusted vendor"" badges for partner shops.",1,2,0 VND
Offer influencer-specific packages with tailor-made photo spots and content support.,1,2,"2,000,000-8,000,000 VND"
Organize guided shopping tours focusing on quality and fair prices.,1,7,"400,000-1,200,000 VND"
Oversized item handling and shipping coordination (commission: 10–20%),1,6,"200,000-700,000 VND"
"Partner with jewelry or gemstone shops, ensuring ethical sourcing to maintain trust.",1,3,0 VND
Partner with online marketplaces that sell local products globally and earn affiliate commissions.,1,5,0 VND
Personal shopper-on-demand,1,7,"700,000-2,000,000 VND"
Personal shopping and market guide service (flat fee: \$50–\$150),1,7,"500,000-1,500,000 VND"
Personal styling and wardrobe consultation (\$100–\$300 per hour),1,6,"900,000-2,500,000 VND"
Piercing services and jewelry (commission: 15–25%),1,3,"200,000-800,000 VND"
Points for each in-destination purchase,1,4,0 VND
Premium alcohol/cigar purchase support where legal,1,3,"500,000-5,000,000 VND"
"Provide ""verified shops"" lists and send tracked referrals via QR or codes.",1,5,0 VND
"Provide personal shopping assistance for souvenirs, clothing, or specialty items.",1,8,"500,000-1,500,000 VND"
Provide personal stylist and shopping services.,1,6,"900,000-2,500,000 VND"
Recipe book add-on for cooking classes,1,8,"500,000-1,500,000 VND"
Secondhand/vintage shopping trail,1,5,"300,000-900,000 VND"
"Segment guests by budget (economy, mid, luxury) and tailor upsells accordingly.",1,2,0 VND
"Sell ""no-shopping"" tour variants for guests who hate commission shops, priced higher to compensate for lost kickbacks.",1,3,"500,000-1,500,000 VND"
"Sell ""shipping and logistics"" services for bulky items.",1,6,"200,000-700,000 VND"
Sell gift cards that can be redeemed later.,1,4,0 VND
Sell postcards stamped and mailed for guests.,1,4,"50,000-120,000 VND"
Shopping cashback wallet at partner stores,1,4,0 VND
Souvenir subscription shipped monthly after trip,1,2,"300,000-900,000 VND/month"
Tailoring and custom garment service (commission: 10–20%),1,8,"500,000-4,000,000 VND"
Track CAC versus LTV and adjust marketing spend based on profitable segments.,1,1,0 VND
Travel memento and souvenir sourcing (markup: 30–50%),1,7,"300,000-1,500,000 VND"
Use tour management software that supports automated upsell emails and remarketing.,1,1,0 VND
Use user-generated photos in marketing.,1,1,0 VND
Wardrobe rental/styling for photo sessions,1,4,"400,000-1,500,000 VND"
"Work with electronics or camera shops for travelers needing gear, taking referral fees.",1,4,"300,000-1,200,000 VND"
