idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Luxury curated"" brand.",1,2,0 VND
24-Hour Dedicated Suite Butler Service,1,2,"3,000,000-8,000,000 VND"
Beach Lounge Direct Fresh Coconut Delivery,1,4,"80,000-180,000 VND"
Charge partners for priority inventory distribution,2,1,0 VND
"Create tiered concierge levels (Basic, Plus, VIP) with different response times and benefits.",1,3,"500,000-3,000,000 VND"
Custom Bath Salts Bath Butler Experience,1,2,"150,000-400,000 VND"
Dedicated planner assigned to VIP guests.,1,4,"1,500,000-5,000,000 VND"
DJ and nightclub VIP table booking (markup: 25–50% on bottle service),1,3,"3,000,000-15,000,000 VND"
Executive Club Floor Lounge Day Access Pass,1,5,"500,000-1,500,000 VND"
Golden Autumn Forest Landscape Photography,1,2,"1,000,000-4,000,000 VND"
High Heat Beach Lounge Frosty Mocktail,1,3,"80,000-180,000 VND"
Line-skip access,2,7,"900,000-2,500,000 VND"
Luxury-villa provisioning and butler setup,1,4,"2,000,000-7,000,000 VND"
"Offer ""priority access"" to new trip launches for paying members.",1,3,0 VND
Offer premium seating on boats or vehicles.,1,6,"200,000-1,000,000 VND"
Pop-up market or expo VIP access,1,2,"300,000-1,000,000 VND"
Premier Airline Lounge Gate Pass,1,5,"400,000-1,200,000 VND"
Premium customer support with priority messaging,1,7,"200,000-1,000,000 VND"
Priority same-day chat support,1,7,"200,000-800,000 VND"
Privacy-focused VIP route planning for public figures,1,1,"5,000,000-20,000,000 VND"
"Provide ""VIP host"" service for company executives.",1,3,"1,500,000-6,000,000 VND"
Rail-lounge or premium waiting-room access,1,5,"150,000-500,000 VND"
Room upgrades from standard to suite (\$50–\$150 per night upgrade premium),1,6,"1,200,000-4,000,000 VND"
Sunset Champagne Beach Lounge Canopy Pack,1,2,"800,000-2,500,000 VND"
Teen Dedicated Console E-Gaming Lounge Pass,1,2,"150,000-500,000 VND"
Terminal Duty-Free Lockers Priority Pre-Order,1,2,"50,000-200,000 VND"
Tiered access passes (bronze/silver/gold).,1,4,"500,000-5,000,000 VND"
Ultra-luxury VIP itineraries.,1,3,"5,000,000-25,000,000 VND"
