idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
Action-camera rental for adventure days,1,4,"200,000-500,000 VND"
Advanced trekking day with certified mountain guide,1,5,"800,000-2,200,000 VND"
Adventure activity nutrition and fuel supplies (markup: 20–30%),1,3,"150,000-400,000 VND"
Adventure travel risk assessment and planning (\$200–\$500),1,3,"800,000-2,000,000 VND"
Alpine Glacier Crampon High Trekking Walk,1,2,"2,500,000-7,000,000 VND"
Arrange yacht or private boat charters.,1,2,"8,000,000-25,000,000 VND"
Birdwatching dawn tour,1,4,"500,000-1,500,000 VND"
Botanical gardens and nature preserve entry (\$20–\$50 per person),1,6,"100,000-300,000 VND"
Build surf camps or dive weeks.,1,4,"4,000,000-12,000,000 VND"
Camping/glamping overnight add-on,1,5,"500,000-1,800,000 VND"
Carbon Hiking Poles Technical Trekking Pack,1,3,"500,000-1,800,000 VND"
Carbon Trolling Rods Ocean Game Fishing Rig,1,2,"300,000-900,000 VND"
Cave exploration and caving (\$75–\$200 per person),1,2,"1,000,000-3,000,000 VND"
Celebration balloon/cake room setup,1,5,"500,000-1,800,000 VND"
Coral Reef Underwater Guided Night Safari,1,1,"2,000,000-4,500,000 VND"
Create gamified scavenger hunts with paid access.,1,4,"300,000-1,000,000 VND"
Customized Graphite Professional Golf Club Set,1,2,"10,000,000-25,000,000 VND"
Dead Sea Mineral Salt Skin Exfoliation,1,3,"500,000-1,200,000 VND"
Deep Skin Organic Moisturizing Botanical Pack,1,4,"400,000-900,000 VND"
Deep Winter Alpine Snow-Shoe Glacier Walk,1,2,"2,500,000-7,000,000 VND"
Deep Wreck Marine Biologist Scuba Dive,1,2,"3,000,000-7,000,000 VND"
Deep-Sea Game Big Sport Fishing Charter,1,2,"5,000,000-15,000,000 VND"
Desert safari experiences (\$100–\$300 per person),1,5,"1,500,000-5,000,000 VND"
Digital Youth City Archeology Scavenger Map,1,4,"150,000-400,000 VND"
Discover-diving intro session,1,5,"900,000-1,800,000 VND"
Easy nature walk for casual travelers,1,8,"150,000-450,000 VND"
"Equipment rental pre-reservation (mountain bike, snorkel gear, camping equipment)",1,8,"100,000-300,000 VND"
Facial treatment and skincare services (commission: 15–25%),1,6,"500,000-1,800,000 VND"
Fishing charter share or private,1,4,"1,200,000-5,000,000 VND"
Fishing expeditions (\$150–\$400 per person),1,3,"900,000-3,500,000 VND"
Glacier tours and ice climbing (\$100–\$300 per person),1,2,"2,500,000-7,000,000 VND"
Glamping experiences (commission: 15–25%),1,5,"500,000-1,800,000 VND"
Golf and golf lessons (\$50–\$200 per person),1,4,"700,000-2,500,000 VND"
Golf course guides and booking coordination (\$9.99–\$29.99),1,4,"150,000-400,000 VND"
Golf tee-time booking and transfer service,1,5,"400,000-1,200,000 VND"
Half-Day Catamaran Snorkel Sailing Charter,1,3,"3,500,000-8,000,000 VND"
Hidden Waterfall Gorge Canyoning Rappel,1,2,"1,200,000-3,000,000 VND"
High Tide Ocean Sea-Cave Kayaking Run,1,2,"900,000-2,000,000 VND"
High-Aperture Birdwatching Optical Binoculars,1,3,"600,000-1,800,000 VND"
High-intensity adventure days for sports lovers.,1,3,"800,000-2,500,000 VND"
High-Traction Vibram Sole Hiking Boots,1,2,"500,000-1,800,000 VND"
Horseback riding and trekking (\$50–\$150 per person),1,5,"800,000-2,500,000 VND"
Horseback-riding excursion,1,5,"500,000-1,800,000 VND"
Hot air balloon rides (\$150–\$400 per person),1,4,"3,000,000-6,000,000 VND"
Interactive theater and choose-your-adventure experiences (\$40–\$100 per person),1,4,"300,000-900,000 VND"
Jet ski rentals and tours (\$100–\$300 per person),1,4,"1,500,000-4,000,000 VND"
Jungle or rainforest trekking (\$75–\$200 per person),1,4,"500,000-1,800,000 VND"
Kayaking and paddling experiences (\$50–\$150 per person),1,5,"400,000-1,500,000 VND"
Microdermabrasion and skin resurfacing (\$100–\$250 per session),1,4,"1,000,000-3,000,000 VND"
Mineral-Rich Thermal Mud Skin Treatment,1,3,"600,000-1,500,000 VND"
Monsoon Season Forest Green Waterfalls Run,1,2,"700,000-2,000,000 VND"
Mountain and hiking destination guides (\$4.99–\$14.99),1,7,"150,000-400,000 VND"
Mountain River White-Water Guided Rafting Run,1,4,"800,000-2,500,000 VND"
Native Forest Sanctuary Birdwatching Trail,1,4,"500,000-1,800,000 VND"
Native Hand-Drum Skin Mount Craft Class,1,1,"800,000-2,500,000 VND"
Next adventure planning (recurring: monthly retainer \$100–\$300),1,4,"1,000,000-3,000,000 VND/month"
Off-road and adventure vehicle rental (commission: 10–20%),1,4,"1,500,000-5,000,000 VND"
"Package ""cultural immersion"" experiences: village homestays, rice planting, fishing with locals.",1,6,"1,000,000-3,500,000 VND"
Paragliding / hot-air-balloon add-on where legal,1,3,"3,000,000-6,000,000 VND"
Paragliding and aerial sports (\$150–\$400 per person),1,2,"2,500,000-5,500,000 VND"
"Private boat charters (\$300–\$1,000+ per day)",1,2,"8,000,000-25,000,000 VND"
Professional Snorkeling Dive Mask & Fins Set,1,4,"250,000-650,000 VND"
Rain Day Old Town Architectural Safaris,1,5,"500,000-1,500,000 VND"
Rainy Day Museum Skip-Line Pass Bundle,1,6,"200,000-700,000 VND"
Remote Desert Island Luxury Overnight Glamping,1,2,"6,000,000-15,000,000 VND"
Rent binoculars for nature tours.,1,4,"150,000-400,000 VND"
Rock climbing experiences (\$75–\$150 per person),1,3,"700,000-2,000,000 VND"
Rock-climbing intro with equipment rental,1,4,"700,000-2,000,000 VND"
Scar and skin blemish removal consultation (\$100–\$300),1,3,"700,000-2,500,000 VND"
Scuba diving certification courses (\$300–\$600 per person),1,2,"5,000,000-12,000,000 VND"
Sea Cave Ocean Guided Kayaking Safari,1,2,"900,000-2,000,000 VND"
Secret Historical Alleyways Gastronomy Safari,1,5,"600,000-1,800,000 VND"
"Sell adventure add-ons: canyoning, zip-lining, mountain treks, scuba introduction, surfing lessons.",1,7,"1,200,000-3,000,000 VND"
Ski/snowboard day trip in winter markets,1,4,"700,000-2,500,000 VND"
Skip-the-line heritage-site guided visit,1,7,"400,000-1,200,000 VND"
Snorkeling and diving expeditions (\$80–\$200 per person),1,4,"1,000,000-3,000,000 VND"
Snorkeling trip with gear included,1,6,"700,000-1,800,000 VND"
Soft-Top Beginner Surfboard Daily Rental,1,4,"250,000-500,000 VND"
Sports-injury response add-on for adventure guests,1,3,"300,000-800,000 VND"
Sunrise Active Volcano Summit Guided Trek,1,2,"1,500,000-4,000,000 VND"
Sunrise Hot-Air Balloon Champagne Flight,1,3,"4,500,000-8,000,000 VND"
Sunset cruise romantic experience,1,8,"2,000,000-8,000,000 VND"
Sunset Ocean Cliffs Horseback Trail Ride,1,4,"700,000-2,500,000 VND"
Surf lesson package,1,5,"500,000-1,500,000 VND"
Suspended Canopy Deep-Forest Zipline Run,1,3,"500,000-1,500,000 VND"
Suspended High Tree-Canopy Footbridge Trek,1,2,"300,000-900,000 VND"
Tennis lessons and court rentals (\$30–\$100 per person),1,4,"400,000-1,200,000 VND"
Tennis/padel court booking plus equipment rental,1,6,"300,000-800,000 VND"
Traditional Fishing Village Night Netting Join,1,2,"600,000-1,500,000 VND"
Ultra-Lightweight Double-Wall Camping Tent,1,3,"800,000-2,000,000 VND"
Underground River Mineral Cave Swimming Trek,1,1,"1,200,000-3,000,000 VND"
Underwater and scuba photography (equipment: \$50–\$150 rental),1,2,"500,000-1,500,000 VND"
Volcano and geological site tours (\$75–\$200 per person),1,4,"1,500,000-4,000,000 VND"
Waterfall hikes and swimming (\$25–\$75 per person),1,6,"400,000-1,200,000 VND"
Waterfall or river day trip,1,7,"300,000-900,000 VND"
Whitewater rafting (\$50–\$150 per person),1,5,"800,000-2,500,000 VND"
Wildlife and nature photography expedition (daily: \$200–\$600),1,4,"4,000,000-12,000,000 VND"
Wildlife safari tours (\$100–\$400 per person),1,5,"1,500,000-5,000,000 VND"
Yacht Charter Ocean Catch-and-Cook Experience,1,2,"8,000,000-25,000,000 VND"
Youth Nature Ranger Forest Outdoor Camps,1,3,"1,500,000-5,000,000 VND"
Zipline or adventure-park tickets with transport,1,6,"500,000-1,500,000 VND"
