idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Express"" 2‐hour versions of longer tours.",1,9,600000-900000 VND
"""Free time"" plus light-guided variants.",1,9,500000-800000 VND
"""Hidden gems"" local insider guides (\$5.99–\$19.99)",1,9,400000-900000 VND
"""Money-back satisfaction"" tours.",1,8,500000-1000000 VND
3‐tour combo packs.,1,8,900000-1500000 VND
5‐tour punch cards.,1,8,1200000-2200000 VND
Accessible sightseeing tour for mobility-limited guests,1,4,700000-1500000 VND
After-hours private museum/gallery tour,1,6,1500000-3500000 VND
Ancient Archeological Ruins Twilight Walk,1,2,400000-900000 VND
Antiques/vintage treasure-hunt tour,1,5,500000-1200000 VND
Architecture and design tours (\$30–\$75 per person),1,6,500000-1500000 VND
Architecture-focused walking tour,1,9,400000-900000 VND
Art and museum visitor guides (\$3.99–\$14.99),1,6,39000-99000 VND
Art gallery private tours with expert guides (\$100–\$300),1,6,2000000-5000000 VND
Beach and water activity guides (\$4.99–\$14.99),1,5,49000-149000 VND
Beach day trips and island tours (\$50–\$150 per person),1,6,800000-2500000 VND
Beach/park cleanup micro-experience,1,2,100000-300000 VND
Beachfront Solar Sea-Salt Pool Harvest Walk,1,2,300000-700000 VND
Botanical Sanctuary Chief Botanist Garden Tour,1,2,700000-1800000 VND
Budget travel guides by destination (\$3.99–\$14.99),1,9,39000-99000 VND
Build accessible tourism packages for guests with mobility needs.,1,4,700000-1500000 VND
Bundle multi-day tour passes (3‐tour pack at slight discount) to lock in more days' spend upfront.,1,8,900000-2000000 VND
Charge higher prices for weekend tours.,1,5,0 VND
Cherry Blossom Orchard Guided Canopy Walk,1,2,500000-1200000 VND
Chocolate and confectionery factory tours (\$30–\$80 per person),1,5,300000-700000 VND
Co-creation of new tours based on guest ideas.,1,2,0 VND
Community-led neighborhood tours,1,6,300000-700000 VND
Community-sourced translation of guides.,1,4,0 VND
Cosplay and character photography experience (\$100–\$300 per session),1,6,1500000-4000000 VND
Costume and dress-up experience (rental: \$50–\$150),1,4,700000-2000000 VND
"Create ""bad weather guarantee"" where guests can reschedule or switch to indoor experiences.",1,8,0 VND
"Create ""hidden gems with local"" walking tours that justify premium pricing with exclusivity.",1,9,400000-1000000 VND
"Create ""limited edition"" tours with very small capacity.",1,5,600000-1500000 VND
"Create ""plastic-free"" experiences with higher perceived value.",1,2,0 VND
Dedicated Pet Walking & Beach Play Service,1,4,200000-500000 VND
"Develop a core city highlights tour as the base product, then upsell a premium version with smaller group size, better vehicle, and extra stops.",1,9,0 VND
Drop underperforming tours that attract low-spend guests.,1,5,0 VND
"Educational tour planning for schools (\$1,500–\$5,000 per group)",1,6,7000000-20000000 VND
Escape room and puzzle game experiences (\$20–\$75 per person),1,2,200000-600000 VND
Group tour coordination (flat fee per participant),1,6,100000-300000 VND
Guided city walking tours (\$15–\$50 per person),1,9,200000-600000 VND
Guided tour service,2,7,"900,000-2,500,000 VND"
Half-day vs full-day versions of core tours.,1,9,400000-1500000 VND
Hangover recovery mild activities,1,8,"250,000-900,000 VND"
Hidden-gems route led by local hosts,1,6,400000-1000000 VND
"High-risk, high-margin experimental tours.",1,2,800000-1500000 VND
"Identify high-value segments (e.g., CIS leisure tourists, long-stay digital nomads) and build products specifically for them.",1,5,0 VND
Integrate review widgets and prompt for reviews after tours.,1,4,0 VND
"Introduce ""express"" tours for time-poor guests, priced slightly higher per hour due to efficiency.",1,9,500000-900000 VND
"Introduce dynamic ""surge"" pricing on very limited or weather-dependent experiences.",1,2,0 VND
Jungle Wildlife Track Tracking Identification Tour,1,5,800000-2000000 VND
Landmark Tour Augmented Reality Mobile Pass,1,9,150000-500000 VND
LGBTQ+ travel destination guides (\$4.99–\$14.99),1,9,39000-99000 VND
Literary or film-location tour,1,6,300000-900000 VND
Local company visit or innovation tour,1,6,500000-1500000 VND
Local Street-Art Muralist Behind-Scenes Walk,1,6,400000-900000 VND
Luxury travel guides for high-net-worth individuals (\$9.99–\$29.99),1,5,99000-299000 VND
Movie and TV location tours (\$40–\$100 per person),1,6,400000-1200000 VND
Movie location and filming site tours (\$25–\$100 per person),1,6,300000-1000000 VND
Multi-day tour package pre-sales (20–35% margin),1,8,0 VND
Museum-hopping tour with timed entries handled,1,6,700000-1800000 VND
"Offer ""farm-to-table"" tours supporting local farmers.",1,2,500000-1200000 VND
"Offer ""mystery tour"" packages where guests discover the plan day by day.",1,2,600000-1500000 VND
"Offer ""voluntourism"" days with a fee that supports local initiatives.",1,4,300000-1000000 VND
Offer prepayment for all expected tour costs with a small discount.,1,8,0 VND
Offer private tour upgrades for any group tour at a clear price multiple.,1,8,1000000-3000000 VND
"Offer tiered pricing (Basic, Plus, Premium) for tours and packages.",1,8,0 VND
On-tour high-satisfaction moments.,1,5,0 VND
On-tour upsell offers.,1,4,0 VND
Organize micro-group (4–6 people) experiences that sit between private and large-group pricing.,1,5,400000-1200000 VND
Paddleboard or kayak rental with guide option,1,5,300000-800000 VND
Pay-what-you-want experimental tours.,1,5,0 VND
Pet and animal photography experiences (\$100–\$300 per session),1,6,1500000-4000000 VND
Pet-sitting / dog-walking for travelers with pets,1,4,200000-600000 VND
Photo-friendly dawn tour for cooler hours,1,6,300000-800000 VND
Photography spot guides with GPS coordinates (\$4.99–\$14.99),1,6,39000-99000 VND
Photography tutorial guides for specific locations (\$9.99–\$19.99),1,6,79000-199000 VND
Photography walks and tutorials (\$50–\$150 per person),1,6,500000-1200000 VND
Pilgrimage and sacred journey tours (\$50–\$200 per person),1,6,500000-1800000 VND
Post-tour feedback forms with offers.,1,4,0 VND
Preferred guide matching.,1,5,300000-800000 VND
Premium after-hours or early-access tour,1,4,1200000-4000000 VND
Private customized full-day city orientation tour,1,9,1500000-3500000 VND
Private customized half-day city orientation tour,1,9,900000-2200000 VND
Private guided tours (premium pricing: \$100–\$300 per group),1,8,2500000-7500000 VND
Public-transit-included sightseeing bundles,1,9,300000-800000 VND
Regional Zoo Private Behind-Scenes Curator Tour,1,5,1500000-4000000 VND
Regularly review legal changes affecting tourism businesses.,1,5,0 VND
Religious and spiritual site tours (\$25–\$75 per person),1,6,300000-800000 VND
Repackage low-demand tours with cross-sells to increase perceived value.,1,5,0 VND
Rickshaw and tuk-tuk tours (\$20–\$60 per person),1,6,200000-700000 VND
Same-day bookable micro-tour for spontaneous travelers,1,9,300000-800000 VND
Same-day micro-tour for spontaneous travelers,1,9,300000-800000 VND
Scenic-route variants with stops and photography.,1,9,400000-1000000 VND
Science and interactive museum experiences (\$20–\$60 per person),1,6,250000-700000 VND
"Sell ""online extension"" products like virtual tours after the trip.",1,4,49000-149000 VND
"Sell ""plan B"" indoor experiences for bad weather.",1,8,300000-800000 VND
"Sell ""stopover"" experiences in Da Nang or other hubs.",1,4,500000-1500000 VND
"Sell ""storm guarantee"" for outdoor tours.",1,8,50000-200000 VND
Sell digital destination guides or itineraries for self-guided travelers.,1,9,39000-149000 VND
"Sell last-minute ""add one more day"" tour extensions when guests show strong engagement.",1,4,500000-1500000 VND
Sell photo printing on-site after tours.,1,4,50000-300000 VND
Sell storm-chasing or unique weather experiences where safe.,1,2,800000-2500000 VND
Senior Guided Botanical Sensory Path Walk,1,4,300000-800000 VND
Senior traveler accessibility guides (\$3.99–\$14.99),1,4,39000-99000 VND
Senior-friendly tours.,1,4,300000-900000 VND
Small-group city highlights walk on first full day,2,9,250000-700000 VND
Solar Salt Pan Hand-Harvesting Experience,1,2,300000-900000 VND
Solo-traveler meetups and tours.,1,4,200000-600000 VND
"Special-interest fandom tours (e.g., film locations).",1,4,400000-1000000 VND
Stadium/arena behind-the-scenes tours,1,5,500000-1500000 VND
Stargazing night tour,1,6,300000-900000 VND
Street art and mural walking tours (\$20–\$50 per person),1,9,200000-600000 VND
Street performer and busker tour (tip-based or flat fee: \$20–\$50),1,2,100000-300000 VND
Street-art discovery tour,1,5,200000-600000 VND
Submarine or underwater viewing tours (\$150–\$400 per person),1,5,2500000-7000000 VND
Sunset city tour with rooftop finish,1,5,500000-1500000 VND
Themed neighborhood walks by traveler interest,1,5,250000-700000 VND
Tip-based tours that feed premium sales.,1,5,0 VND
Top-up service for tourist SIMs mid-stay,1,4,50000-200000 VND
Tour partner package,1,1,0 VND
Traditional-dress fitting plus photo experience,1,4,300000-900000 VND
Transportation museum and transportation tours (\$20–\$50 per person),1,6,200000-600000 VND
Unlimited Global Data Pocket Wi-Fi Router,1,4,150000-350000 VND
Urban and street photography tour (\$50–\$150 per person),1,6,500000-1500000 VND
Use dynamic pricing for high-demand days or limited-capacity tours.,1,5,0 VND
Use retargeting ads to upsell additional tours to existing bookers.,1,4,0 VND
Walking tour and pedestrian guide service (\$15–\$50 per person),1,9,300000-800000 VND
Weather-dependent experiences with strong upsides.,1,2,400000-1200000 VND
Women-only guide options for selected tours,1,4,300000-900000 VND
Zip-lining and canopy tours (\$50–\$120 per person),1,5,800000-1800000 VND
