idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""History and culture"" focus.",1,7,"300,000-1,200,000 VND"
Acting class and performance coaching (\$50–\$150 per session),1,5,"1,200,000-3,800,000 VND"
Agroecology Botanical Seed Planting Class,1,3,"300,000-1,200,000 VND"
Alpine Forest Botanical Floral Pressing Class,1,3,"300,000-1,200,000 VND"
Ancient Clay Roof Tile Firing Workshop,1,3,"300,000-1,200,000 VND"
Architectural Restoration Historical Walk,1,5,"300,000-1,200,000 VND"
Arrange traditional medicine or herbal workshops with product sales.,1,3,"300,000-1,200,000 VND"
Artisan craft workshops (\$40–\$120 per person),1,4,"1,000,000-3,000,000 VND"
Artisan-studio visits with purchase privileges,1,4,"300,000-1,200,000 VND"
Baking and bread-making classes (\$50–\$120 per person),1,4,"1,200,000-3,000,000 VND"
Ballet and dance performance ticketing (commission: 10–20%),1,5,"300,000-1,200,000 VND"
Bamboo Woven Fish Trap Designing Class,1,3,"300,000-1,200,000 VND"
Behind-the-scenes studio and workshop tours (\$50–\$150 per person),1,4,"1,200,000-3,800,000 VND"
Bespoke Perfume Organic Scent Formulation Workshop,1,4,"1,500,000-5,000,000 VND"
Botanical Cold-Process Soap Compounding Workshop,1,4,"300,000-1,200,000 VND"
Botanical Herb Pigment Fabric Dyeing Class,1,3,"300,000-1,200,000 VND"
Calligraphy or craft workshop,1,5,"300,000-1,200,000 VND"
Circus and acrobatic performance attendance (commission: 10–20%),1,5,"200,000-900,000 VND"
Classic Retro Film Roller Chemical Processing,1,3,"300,000-1,200,000 VND"
Classic Woodfire Pizza Stone Throwing Class,1,3,"300,000-1,200,000 VND"
Cooking class for family tours,1,8,"1,200,000-3,500,000 VND/group"
Cooking class with optional add-ons,1,8,"500,000-1,500,000 VND"
Copper Plate Etching Printmaking Workshop,1,3,"300,000-1,200,000 VND"
Craft workshops with artisans.,1,4,"300,000-1,200,000 VND"
"Create ""language immersion"" stays with classes and host families.",1,6,"900,000-2,500,000 VND"
"Create private airport transfer packages (standard, SUV, luxury) with significant markup over local taxi prices in exchange for reliability and language support.",1,8,"200,000-900,000 VND"
Cultural etiquette guides for specific destinations (\$2.99–\$9.99),1,7,"50,000-250,000 VND"
Cultural etiquette workshops.,1,7,"400,000-1,200,000 VND"
"Dance class experiences (salsa, tango, traditional): \$30–\$100 per person",1,5,"750,000-2,500,000 VND"
Dance class with social-night add-on,1,5,"300,000-1,200,000 VND"
Dance hall or club entry VIP packages (\$50–\$150 per person),1,3,"1,200,000-3,800,000 VND"
Destination Heritage Hardcopy Cookbook,1,3,"100,000-450,000 VND"
Documentary screening and filmmaker Q&A access (commission: 5–10%),1,4,"300,000-1,200,000 VND"
Faith/spiritual heritage circuit,1,5,"300,000-1,200,000 VND"
Film and TV production course or masterclass (\$100–\$300 per person),1,3,"2,500,000-7,500,000 VND"
Folklore/performance ticket plus backstage talk,1,5,"250,000-900,000 VND"
Folkloric Traditional Regional Dance Class,1,5,"300,000-1,200,000 VND"
Full-immersion multi-day workshops.,1,3,"1,500,000-5,000,000 VND"
Handcrafted Local Artisan Accessory Keepsake,1,4,"100,000-450,000 VND"
Heritage private talk,1,2,"200,000-900,000 VND"
Heritage Ruins 3D Digital Reconstruction App,1,3,"100,000-350,000 VND"
Heritage Spice Farm Botanical Blending Class,1,4,"600,000-1,800,000 VND"
Heritage Wooden Loom Hand-Weaving Class,1,4,"600,000-1,800,000 VND"
Hieroglyphic Calligraphy Papyrus Paper Making,1,5,"300,000-1,200,000 VND"
High Wind Coastal Kite Boarding Class,1,4,"300,000-900,000 VND"
Historic Monument Oil Painting Class,1,5,"400,000-1,200,000 VND"
Historic Opera Theater Backstage Dressing Access,1,5,"200,000-900,000 VND"
Historic Preservation Historic Building Join,1,3,"200,000-900,000 VND"
Historic property and heritage hotel stays (commission: 10–20%),1,3,"300,000-1,200,000 VND"
Historic Sailing Vessel Rigging Knot Class,1,4,"600,000-1,800,000 VND"
Historic site and monument tours (tickets: commission or markup),1,5,"150,000-700,000 VND"
Historic State Archives Private Scholar Walk,1,4,"1,200,000-3,500,000 VND"
Historic Tavern Heritage Guided Pub Crawl,1,5,"200,000-900,000 VND"
Historic Tavern Traditional Board Gaming Crawl,1,3,"300,000-1,200,000 VND"
Historical Battlefield Tactical Military Guide,1,6,"300,000-1,200,000 VND"
Historical Ghost Legend Lantern Pub Walk,1,3,"300,000-1,200,000 VND"
Historical site tours with specialized guides,1,5,"700,000-2,000,000 VND"
Historical walking tour scripts (self-guided: \$2.99–\$9.99),1,5,"50,000-250,000 VND"
Hot chocolate and artisanal cocoa experiences (\$15–\$40 per person),1,4,"400,000-1,000,000 VND"
Hotel-room trunk show with local makers,1,2,"400,000-1,500,000 VND"
Improv comedy workshop and participation (\$30–\$80 per person),1,5,"750,000-2,000,000 VND"
In-language landing pages.,1,2,0 VND
Indigenous Bamboo Flute/Drum Craft Class,1,4,"300,000-1,200,000 VND"
Indigenous Dialect Immersion Fast-Track Class,1,3,"300,000-1,200,000 VND"
Indoor Classic Tenpin Bowling Lane Reservation,1,3,"200,000-900,000 VND"
Language exchange events.,1,7,"300,000-1,200,000 VND"
Language learning modules specific to travel phrases (\$4.99–\$19.99),1,3,"100,000-500,000 VND"
Language survival lesson with market practice,1,8,"250,000-700,000 VND"
Lantern release romantic experience,1,8,"2,000,000-8,000,000 VND"
Lantern workshop for family tours,1,8,"1,200,000-3,500,000 VND/group"
Leather-Bound Handcrafted Travel Notebook,1,4,"100,000-450,000 VND"
Limited-seat masterclasses at premium venues,1,3,"1,500,000-5,000,000 VND"
Literary and cultural heritage tours (\$40–\$100 per person),1,5,"1,000,000-2,500,000 VND"
Live music event attendance (tickets: commission or markup 10–25%),1,5,"200,000-900,000 VND"
Live music tickets with transfer add-on,2,5,"200,000-900,000 VND"
Live music venue discovery and reservation (commission: 5–10%),1,5,"200,000-900,000 VND"
Local Agricultural Paddy Harvesting Class,1,3,"600,000-1,800,000 VND"
Local Artisan Studio Back-Alley Route,1,4,"100,000-500,000 VND"
Local Artist Room Painting Lease-to-Buy,1,5,"300,000-1,200,000 VND"
Local craft with provenance-certificate premium,1,4,"1,000,000-4,000,000 VND"
Local etiquette and customs mini-class,1,6,"400,000-1,200,000 VND"
Local Healing Herb Garden Compounding Class,1,3,"300,000-1,200,000 VND"
Local Heritage Architecture Building Sketching,1,3,"600,000-1,800,000 VND"
Local Musical Artist Custom Studio Audio Pack,1,4,"100,000-350,000 VND"
Macro and detail photography class (\$75–\$200 per person),1,5,"1,900,000-5,000,000 VND"
Maker-market guided shopping with translator,1,4,"300,000-1,200,000 VND"
Market tour add-on for cooking classes,1,8,"500,000-1,500,000 VND"
Martial arts trial classes (\$25–\$75 per person),1,5,"600,000-1,900,000 VND"
Master Artisan Timber Woodcarving Session,1,4,"300,000-1,200,000 VND"
Meet-the-maker or behind-the-scenes premium access,1,4,"1,200,000-3,500,000 VND"
Mountain Heavy Mist Historic Forest Walk,1,3,"300,000-1,200,000 VND"
Multi-language digital city guide upsell,1,3,"250,000-700,000 VND"
Music festival VIP packages (commission: 15–25%),1,5,"600,000-2,500,000 VND"
Music lesson or jam session with local artists,1,5,"300,000-1,200,000 VND"
National Historical Gallery Private Curator Walk,1,4,"1,200,000-3,500,000 VND"
Native Feather Decorative Art Designing Class,1,4,"300,000-1,200,000 VND"
"Negotiate referral commissions with souvenir shops, handicraft stores, and clothing outlets.",1,1,0 VND
Night photography and long exposure workshop (\$100–\$300 per person),1,5,"2,500,000-7,500,000 VND"
"Offer ""queue avoidance"" services by pre-buying attraction tickets and time slots.",1,7,"150,000-500,000 VND"
Offer educational lectures by local historians or experts.,1,4,"300,000-1,200,000 VND"
Offer language phrase cards for different markets.,1,7,"50,000-150,000 VND"
"Offer language-specific experiences and guides (Russian-speaking, English, etc.).",1,8,"250,000-700,000 VND"
Offer photography workshops during special seasonal phenomena.,1,5,"500,000-1,500,000 VND"
"Offer school or university trips focusing on history, culture, or environment.",1,3,"300,000-1,200,000 VND"
Opera and classical music performance access (commission: 10–20%),1,5,"200,000-900,000 VND"
Outlet mall and discount shopping tour (\$20–\$60 guidance fee),1,6,"500,000-1,500,000 VND"
Painting and art classes (\$40–\$100 per person),1,5,"1,000,000-2,500,000 VND"
Painting/sketching class in scenic location,1,5,"300,000-1,200,000 VND"
Palm Leaf Traditional Basket Weaving Workshop,1,4,"300,000-1,200,000 VND"
Photography masterclass around city landmarks,1,5,"900,000-2,500,000 VND"
Post-Stay Local Artisan Gift Box Delivery,1,2,"100,000-450,000 VND"
Pottery and ceramics classes (\$50–\$100 per person),1,5,"1,200,000-2,500,000 VND"
Pottery or ceramics workshop,1,5,"300,000-1,200,000 VND"
Provide last-mile language support over chat or phone for negotiation or disputes.,1,8,"200,000-900,000 VND"
Public transportation guide and navigation service (\$10–\$30 guidance fee),1,8,"250,000-750,000 VND"
Pulmonary Breathing Posture Expansion Class,1,3,"300,000-1,200,000 VND"
Rain Afternoon Classic Wood Boardgames Library,1,3,"300,000-1,200,000 VND"
Rain Day Historic Cathedral Audio Tour,1,5,"100,000-350,000 VND"
Rain Day Indoor Studio Oil Painting Class,1,5,"300,000-1,200,000 VND"
Rainy Day Historic Mansion Library Entry,1,5,"300,000-1,200,000 VND"
Rave and electronic music event access (commission: 10–20%),1,5,"200,000-900,000 VND"
Readjustment consulting for reverse culture shock (\$100–\$300 program),1,6,"2,500,000-7,500,000 VND"
Regional Folk Costume Custom Tailoring class,1,3,"300,000-1,200,000 VND"
Regional Historic Oral Folklore Gathering,1,3,"300,000-1,200,000 VND"
Sailing lessons (\$100–\$300 per person),1,5,"2,500,000-7,500,000 VND"
Sand Art Painting Custom Craft Class,1,5,"300,000-1,200,000 VND"
Scenic Heritage Train Luxury Parlor Cabin,1,4,"300,000-1,200,000 VND"
Self-guided digital culture pass with premium audio,1,6,"100,000-350,000 VND"
Skateboarding and BMX lessons (\$40–\$100 per person),1,3,"1,000,000-2,500,000 VND"
Smartphone-video creation class for travelers,1,4,"300,000-1,200,000 VND"
Spice market and spice blending workshops (\$50–\$120 per person),1,4,"1,200,000-3,000,000 VND"
Sporting event attendance (tickets: commission or markup 10–30%),1,5,"200,000-900,000 VND"
Storytelling evenings with elders.,1,3,"300,000-1,200,000 VND"
Storytelling walk with local historians,1,5,"300,000-1,200,000 VND"
Storytelling-based offers.,1,2,"300,000-1,200,000 VND"
Sunrise Low-Impact Tai Chi Beach Class,1,3,"300,000-900,000 VND"
Sunset Rooftop Artisan Mocktail Pitcher,1,4,"300,000-1,200,000 VND"
Sunset viewing tours with photography guidance,1,5,"500,000-1,500,000 VND"
Swimming lessons (\$25–\$75 per lesson),1,5,"600,000-1,900,000 VND"
Tai Chi and martial arts classes (\$30–\$80 per person),1,5,"750,000-2,000,000 VND"
Teen Local Hip-Hop Street Dance Class,1,5,"300,000-1,200,000 VND"
Temple or pagoda visits with context.,1,3,"300,000-1,200,000 VND"
Temple/church/mosque etiquette guided visit,1,7,"100,000-350,000 VND"
Textile/weaving workshop,1,4,"300,000-1,200,000 VND"
"Themed historical tours (heritage, colonial, ancient civilizations)",1,5,"300,000-1,200,000 VND"
Traditional Clay Wheel Pottery Masterclass,1,5,"900,000-2,500,000 VND"
Traditional Hammered Copper-Plate Metalwork Class,1,3,"300,000-1,200,000 VND"
Traditional Ink Brush Calligraphy Masterclass,1,5,"900,000-2,500,000 VND"
Traditional Loom Rug Pattern Designing Class,1,3,"300,000-1,200,000 VND"
Traditional music or dance performances.,1,3,"300,000-1,200,000 VND"
Traditional Stone Masonry Architectural Class,1,3,"300,000-1,200,000 VND"
Traditional Theatre Mask Plaster Painting Class,1,5,"300,000-1,200,000 VND"
Travel storytelling and written travel narrative service (\$150–\$400),1,2,"3,800,000-10,000,000 VND"
Tropical Fresh Fruit Cold Juicing Masterclass,1,3,"1,500,000-5,000,000 VND"
Vaccination/health requirement guidance (\$25–\$75),1,9,"600,000-1,900,000 VND"
Volunteer day with local NGO coordination fee,1,3,"400,000-1,500,000 VND"
Volunteer-for-a-day cultural immersion activity,1,3,"600,000-1,800,000 VND"
Wooden Ship Model Rigging Custom Workshop,1,3,"300,000-1,200,000 VND"
Woodfire Traditional Sourdough Bread Class,1,4,"300,000-1,200,000 VND"
Workshop experience nights,1,3,"300,000-1,200,000 VND"
Writing and screenwriting workshop (\$75–\$200 per person),1,5,"1,900,000-5,000,000 VND"
