idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
"""Wellness and reset"" focus.",1,9,0 VND
Acupressure Reflexology Foot Arch Board Rental,1,8,"80,000-200,000 VND"
Anti-Aging Collagen Botanical Hydration Facial,1,6,"700,000-1,800,000 VND"
Aromatherapy Migraine Relief Scalp Massage,1,8,"300,000-700,000 VND"
Automated recovery offers after service failures,1,4,0 VND
Ayurvedic wellness treatments (\$75–\$300 per person),1,6,"900,000-2,800,000 VND"
Balcony Fitness Workout Stretching Prop Set,1,6,"150,000-350,000 VND"
Barber booking concierge,1,6,"150,000-500,000 VND"
Bedroom Circadian Sound Sleep Set Optimization,1,8,"200,000-500,000 VND"
Blowout booking concierge,1,6,"150,000-500,000 VND"
Body painting and artistic photography (\$150–\$400 per session),1,2,"2,500,000-7,000,000 VND"
"Build ""breakup recovery"" or ""life reset"" trips.",1,7,"4,000,000-15,000,000 VND"
"Build a network of preferred partners (hotels, restaurants, spas, shops) with clear commission agreements.",1,1,0 VND
Carnival Street Parade Reserved Balcony Space,1,4,"800,000-3,000,000 VND"
Certified Personal Beach Fitness Coach,1,7,"500,000-1,500,000 VND"
Classic Full Body Swedish Muscle Relaxer,1,8,"350,000-900,000 VND"
Clear Night Meteor Shower Sleep-Out Deck,1,4,"600,000-2,000,000 VND"
Cold Snap Spa Eucalyptus Steam Pass,1,8,"200,000-600,000 VND"
Cosmetic and spa treatment packages (markup: 15–30%),1,7,"600,000-2,500,000 VND"
Couples spa package,1,7,"1,800,000-6,000,000 VND"
Create wellness retreats combining tours with spa and healthy meals.,1,8,"2,000,000-8,000,000 VND"
Deep Acupressure Foot Reflexology Therapy,1,8,"300,000-700,000 VND"
Deep tissue and therapeutic massage (\$60–\$150 per hour),1,8,"600,000-2,000,000 VND"
Deep Wilderness Forest Guided Meditation,1,6,"500,000-1,800,000 VND"
"Design ""arrival recovery"" packages: massage plus foot reflexology after long flights.",1,8,"700,000-1,800,000 VND"
Destination spa packages (commission: 15–25%),1,8,"1,200,000-4,000,000 VND"
Detox and cleansing program coordination (fee: \$200–\$800 per program),1,4,"1,500,000-6,000,000 VND"
Detox juice subscription for the stay,1,6,"300,000-900,000 VND"
"Develop specialty trips for hobby groups (photography, yoga, cycling, diving).",1,7,"2,000,000-10,000,000 VND"
Direct Geothermal Hot Springs Priority Pass,1,5,"300,000-900,000 VND"
Direct Train Private Sleeper Cabin Upgrade,1,4,"1,500,000-8,000,000 VND"
Essential Wellness Oils Room Mist Diffuser,1,4,"80,000-250,000 VND"
Fitness center premium access (flat fee or daily rate),1,9,"200,000-800,000 VND"
Fitness training and personal coaching (\$50–\$150 per session),1,7,"500,000-1,800,000 VND"
Guided cold-plunge / trend-wellness experience,1,6,"300,000-900,000 VND"
Gym access pass,1,7,"300,000-900,000 VND"
Gym day passes with towel/transfer included,1,8,"150,000-500,000 VND"
Hair and beauty salon services (commission or markup: 10–20%),1,7,"200,000-1,200,000 VND"
Hangover recovery hydration,1,8,"250,000-900,000 VND"
Hangover-recovery breakfast delivery pass,1,8,"120,000-350,000 VND"
Holistic Ayurvedic Wellness Body Profiling,1,4,"500,000-1,500,000 VND"
Hot spring/sauna/hamam package,1,8,"300,000-1,200,000 VND"
Hot stone and heated massage therapy (\$75–\$180 per session),1,8,"800,000-2,200,000 VND"
In-Room Custom Wellness Pillow Aromatherapy,1,4,"100,000-300,000 VND"
In-room massage or wellness service,1,9,"400,000-1,500,000 VND"
"Introduce ""rainy day"" alternative tours (museums, cooking, spa, cafes) to keep spending during bad weather.",1,7,"500,000-2,000,000 VND"
Jet lag recovery and sleep coaching (\$100–\$250 per session),1,8,"1,000,000-3,000,000 VND"
Jet-lag recovery package on arrival day,1,8,"800,000-2,500,000 VND"
Local beauty/skincare shopping curation,1,6,"200,000-600,000 VND"
Lymphatic Drainage Fluid Detoxification,1,4,"700,000-1,800,000 VND"
Manicure/pedicure appointment concierge,1,7,"150,000-500,000 VND"
Massage and bodywork treatments (commission: 15–25%),1,8,"350,000-1,500,000 VND"
Massage appointments with transport included,2,8,"500,000-1,800,000 VND"
Meditation and spiritual retreat experiences (\$50–\$200 per person),1,7,"500,000-3,500,000 VND"
Meditation/breathwork session in scenic venue,1,6,"300,000-900,000 VND"
Muscle-Recovery Percussive Massage Gun Lease,1,8,"150,000-400,000 VND"
Nail care and manicure services (commission: 15–25%),1,7,"150,000-500,000 VND"
Negotiate spa-package commissions,1,1,0 VND
Nutrition and wellness meal consulting (\$100–\$250 per hour),1,6,"1,000,000-3,000,000 VND"
Offer daily yoga or meditation sessions at hotels or beaches.,1,9,"150,000-500,000 VND"
Offer premium gym access passes for fitness-oriented travelers.,1,7,"250,000-900,000 VND"
"Offer room-category upsells (sea view, balcony, higher floor, suite) at a margin, emphasizing experiential benefits like quieter sleep or better sunrise views.",1,8,"300,000-2,000,000 VND"
Offer spiritual retreats with meditation teachers or monks (with respect to local culture).,1,6,"2,000,000-10,000,000 VND"
Organic Cold-Pressed Detox Vegetable Juices,1,5,"80,000-220,000 VND"
"Partner with coworking spaces to create ""workation"" packages.",1,5,"1,000,000-4,000,000 VND"
Partner with spas for commission-based referrals and pre-booked massage slots.,1,1,0 VND
Pedicure services and foot care (\$30–\$75 per session),1,7,"300,000-900,000 VND"
Personal health monitoring and wellness tracking service (monthly: \$50–\$300),1,4,"500,000-3,500,000 VND"
Personal trainer or mobility session,1,7,"500,000-1,500,000 VND"
Pet Grooming Mobile Spa Sanitation Van,1,1,"300,000-1,000,000 VND"
Physiotherapy/sports-massage referral where legal,1,8,"400,000-1,500,000 VND"
Portable Room Cold-Plunge Recovery Tub,1,4,"500,000-1,500,000 VND"
Post-activity recovery meal and protein service (markup: 20–30%),1,7,"150,000-450,000 VND"
Post-adventure recovery package,2,7,"500,000-2,000,000 VND"
Post-travel wellness and recovery coaching (\$75–\$200 per session),1,8,"800,000-2,500,000 VND"
Posture Alignment Osteopathy Evaluation,1,6,"600,000-1,800,000 VND"
Pre-Stocked Wilderness Hiking Hydration Backpack,1,4,"100,000-300,000 VND"
Prenatal Comfort Maternity Relax Massage,1,8,"400,000-1,200,000 VND"
Prenatal-friendly wellness add-ons where licensed,1,4,"300,000-900,000 VND"
Private Infrared Sauna Dedicated Hour,1,8,"500,000-1,500,000 VND"
Private Mobile Hair & Cosmetics Salon,1,6,"600,000-2,000,000 VND"
Private Sunset Balcony Yoga Guidance,1,8,"300,000-800,000 VND"
Protein shake and fitness beverage delivery (markup: 25–35%),1,6,"50,000-150,000 VND"
Recovery IV or hydration referral where legal,1,8,"1,000,000-3,000,000 VND"
Reflexology and foot massage (\$40–\$100 per hour),1,8,"400,000-1,500,000 VND"
Relax-day pool day pass bundle,1,8,"500,000-1,500,000 VND"
Relax-day spa bundle,1,8,"500,000-1,500,000 VND"
Salon booking concierge,1,6,"150,000-500,000 VND"
Sauna and thermal bath experiences (\$30–\$100 per person),1,8,"250,000-1,500,000 VND"
Sauna and thermal water experience access (commission: 10–20%),1,7,"300,000-1,000,000 VND"
"Sell sponsored placements for local businesses inside your guides and videos, ensuring transparency.",1,1,0 VND
Senior Dedicated Hot Springs Access Priority,1,4,"250,000-800,000 VND"
Senior In-Room Physical Therapist Recovery,1,8,"700,000-2,000,000 VND"
Senior traveler gentle-recovery package,1,8,"500,000-1,800,000 VND"
Shared kitchen and communal cooking space access (daily pass: \$10–\$30),1,6,"100,000-300,000 VND"
Shiatsu and acupressure therapy (\$60–\$150 per session),1,6,"600,000-1,800,000 VND"
Sleep kit with aromatherapy and blackout accessories,1,8,"100,000-300,000 VND"
Sleep-Enhancing Lavender Sound Therapy Night,1,8,"150,000-500,000 VND"
Sleeper train package coordination (commission: 10–20%),1,4,"1,000,000-4,000,000 VND"
Sore Joint Athletic Muscle Deep Recovery,1,8,"500,000-1,500,000 VND"
Spa and massage experiences (commission or markup: 15–25%),1,8,"400,000-1,500,000 VND"
Spa and wellness credits at hotel (commission: 10–20%),1,8,"300,000-1,000,000 VND"
Spa day passes,2,9,"300,000-1,200,000 VND"
Spa partner package,1,1,0 VND
Spa suite and wellness room options (\$75–\$200 per night markup),1,8,"1,800,000-6,000,000 VND"
Sunrise Beach Tibetan Sound Bowl Meditation,1,6,"300,000-900,000 VND"
Swedish and relaxation massage (hourly: \$50–\$120),1,9,"500,000-1,500,000 VND"
Thai massage and bodywork (\$40–\$100 per hour),1,8,"350,000-1,200,000 VND"
Thermal Hydro-Massage High-Pressure Session,1,8,"300,000-900,000 VND"
Wellness resort packages with activities (commission: 15–25%),1,7,"2,000,000-8,000,000 VND"
Wellness retreat day trip,1,7,"1,000,000-4,000,000 VND"
Women-only wellness packages,1,5,"500,000-2,000,000 VND"
Yoga and wellness classes (\$20–\$75 per person),1,9,"200,000-800,000 VND"
Yoga class drop-ins or private sessions,1,9,"150,000-700,000 VND"
